id,unit_name,off_start_date,off_end_date,off_start_day,off_end_day,duration_days
1,고리4호기,2024-10-24,2024-12-19,298,354,57
2,신고리1호기,2024-03-12,2024-04-27,72,118,47
3,신고리2호기,2024-05-02,2024-06-07,123,159,37
4,새울1호기,2024-12-19,2025-02-27,354,366,13
5,새울2호기,2024-03-11,2024-05-03,71,124,54
6,한빛3호기,2024-01-02,2024-02-17,2,48,47
7,한빛4호기,2024-04-21,2024-06-07,112,159,48
8,한빛6호기,2024-07-11,2024-09-28,193,272,80
9,월성2호기,2024-05-28,2024-08-08,149,221,73
10,월성3호기,2024-05-01,2024-10-22,122,296,175
11,월성4호기,2024-04-20,2024-09-21,111,265,155
12,신월성1호기,2024-06-07,2024-08-16,159,229,71
13,신월성2호기,2024-01-01,2024-03-06,1,66,66
14,한울2호기,2024-11-01,2024-12-22,306,357,52
15,한울3호기,2024-07-27,2024-10-08,209,282,74
16,한울4호기,2024-10-18,2025-01-01,292,366,75
17,한울5호기,2024-07-19,2024-10-23,201,297,97
18,신한울1호기,2024-01-05,2024-04-20,5,111,107
