date,beta,mean_delta_smp,curtailment_mwh
2024-05-16,1.5,0.0,0.0
2024-05-16,2.0,0.0,0.0
2024-05-16,2.5,0.0,0.0
2024-05-22,1.5,0.0,0.0
2024-05-22,2.0,0.0,0.0
2024-05-22,2.5,0.0,0.0
2024-03-05,1.5,0.0,0.0
2024-03-05,2.0,0.0,0.0
2024-03-05,2.5,0.0,0.0
2024-06-16,1.5,0.0,0.0
2024-06-16,2.0,0.0,0.0
2024-06-16,2.5,0.0,0.0
2024-06-21,1.5,0.0,0.0
2024-06-21,2.0,0.0,0.0
2024-06-21,2.5,0.0,0.0
2024-08-20,1.5,0.0,0.0
2024-08-20,2.0,0.0,0.0
2024-08-20,2.5,0.0,0.0
2024-10-20,1.5,0.0,0.0
2024-10-20,2.0,0.0,0.0
2024-10-20,2.5,0.0,0.0
2024-10-25,1.5,0.0,0.0
2024-10-25,2.0,0.0,0.0
2024-10-25,2.5,0.0,0.0
2024-09-11,1.5,0.0,0.0
2024-09-11,2.0,0.0,0.0
2024-09-11,2.5,0.0,0.0
2024-02-12,1.5,0.0,0.0
2024-02-12,2.0,0.0,0.0
2024-02-12,2.5,0.0,0.0
2024-12-24,1.5,0.0,0.0
2024-12-24,2.0,0.0,0.0
2024-12-24,2.5,0.0,0.0
2024-01-23,1.5,0.0,0.0
2024-01-23,2.0,0.0,0.0
2024-01-23,2.5,0.0,0.0
